entry_z,exit_buffer_z,sharpe,return_pct,final_value,trades
1.5,0.5,7.871084442774071,87.52325454530565,187523.25454530565,11826.0
1.5,1.0,8.551778255421889,71.60422296682209,171604.2229668221,7672.0
1.5,1.5,8.487776119502342,61.99405013141328,161994.05013141327,6150.0
1.5,2.0,8.487776119502342,61.99405013141328,161994.05013141327,6150.0
2.0,0.5,9.601523306284461,65.18185892564313,165181.85892564312,7504.0
2.0,1.0,10.422405312981324,54.682796403704195,154682.79640370418,5162.0
2.0,1.5,10.683733050166337,46.540114115254404,146540.1141152544,3996.0
2.0,2.0,10.568598539592358,42.80706430651158,142807.06430651157,3650.0
2.5,0.5,10.691924667133295,44.321253160733384,144321.25316073338,4458.0
2.5,1.0,11.732077510187755,40.41236379920494,140412.36379920493,3362.0
2.5,1.5,12.050332496228307,35.99957439454502,135999.57439454502,2612.0
2.5,2.0,11.919862716946266,33.24262903583315,133242.62903583315,2292.0
